item_id,source,url,date,title,raw_text_excerpt,change_summary,taxonomy_class,mutation_type,schema_visible,semantic_change,protocol_operational,likely_agent_relevant,confidence,rationale,annotator,needs_manual_review
openai_2026_04_24_reasoning_default,OpenAI,https://developers.openai.com/api/docs/changelog,2026-04-24,GPT-5.5 API release notes,Reasoning effort now defaults to medium.,A model parameter default changed while the request shape can remain unchanged.,C,C3_default_behavior_drift,False,True,False,True,medium,Default-setting changes can alter behavior without requiring schema edits.,auto,True
anthropic_2026_05_28_sampling_error,Anthropic,https://platform.claude.com/docs/en/release-notes/overview,2026-05-28,Sampling parameter validation for Opus 4.8,non-default sampling parameters return a 400 error.,Requests accepted by prior behavior can become rejected for a model.,D,D5_error_validation_change,False,True,True,True,medium,"The visible request schema may be stable, but runtime validation/error behavior changes.",auto,True
anthropic_top_p_default,Anthropic,https://platform.claude.com/docs/en/release-notes/overview,unknown,Default top_p changed,default top_p changed from 0.999 to 0.99.,A sampling default changed while API calls can omit the parameter.,C,C3_default_behavior_drift,False,True,False,True,low,"Default changes are semantically relevant, but the exact release-note date needs manual confirmation.",auto,True
twilio_sendgrid_2025_12_09_rate_limit,Twilio SendGrid,https://www.twilio.com/en-us/changelog/rate-limit-change-for-the-twilio-sendgrid-email-activity-api,2025-12-09,Email Activity API rate limit change,API rate limit will be reduced to 6 requests/minute.,An endpoint's rate limit and 429 behavior changed.,D,D4_rate_limit_change,False,False,True,True,high,Rate-limit changes are operational/protocol compatibility changes.,auto,False
twilio_taskrouter_2024_10_24_rate_limit,Twilio TaskRouter,https://www.twilio.com/en-us/changelog/taskrouter-endpoint-rate-limit-correction,2024-10-24,TaskRouter endpoint rate limit correction,requests will be throttled and return 429.,Previously unthrottled or incorrectly documented endpoints reintroduced limits.,D,D4_rate_limit_change,False,False,True,True,high,Runtime throttling affects client behavior without changing endpoint schemas.,auto,False
microsoft_graph_lesser_permissions,Microsoft Graph,https://learn.microsoft.com/en-us/graph/whats-new-earlier,unknown,Lesser privileged permissions for user APIs,move from Directory.AccessAsUser.All to lesser privileged permissions.,Permission guidance and access requirements changed for API use.,D,D2_permission_change,False,False,True,True,medium,Permission changes are operational compatibility changes and can affect agent credentials.,auto,True
shopify_2025_01_multilocation_removed,Shopify,https://shopify.dev/docs/api/release-notes/2025-01,2025-01,Deprecated multiLocation field removed,removed the deprecated multiLocation field.,A response field was removed and a replacement field is recommended.,B,B4_output_shape_change,True,False,False,True,high,Removing a response field is a schema-contract change.,auto,False
shopify_2025_01_cart_tax_checkout,Shopify,https://shopify.dev/docs/api/release-notes/2025-01,2025-01,Cart tax and duties calculation moved to checkout,Tax and duties are now calculated at checkout.,A commerce calculation behavior moved to a later workflow stage.,C,C3_default_behavior_drift,False,True,False,True,medium,Timing of business calculation can change outcomes without a direct request-shape change.,auto,True
shopify_2025_01_stringconnection_nodes,Shopify,https://shopify.dev/docs/api/release-notes/2025-01,2025-01,StringConnection includes nodes field,StringConnection now includes a nodes field.,A connection response shape gained an additional field.,B,B4_output_shape_change,True,False,False,True,high,"Response field additions are schema-contract changes, even if often backward compatible.",auto,False
slack_2025_05_29_rate_limit,Slack,https://docs.slack.dev/changelog/2025/05/29/rate-limit-changes-for-non-marketplace-apps/,2025-05-29,Rate limit changes for non-Marketplace apps,new rate limits for conversations.history and conversations.replies.,Selected endpoints moved to stricter limits for a class of apps.,D,D4_rate_limit_change,False,False,True,True,high,Rate limit and app eligibility changes are operational changes.,auto,False
slack_2025_05_29_limit_param,Slack,https://docs.slack.dev/changelog/2025/05/29/rate-limit-changes-for-non-marketplace-apps/,2025-05-29,Conversation methods limit parameter changed,maximum and default limit value is now 15.,Pagination/page-size behavior changed for affected methods.,D,D3_pagination_change,False,False,True,True,high,Default and maximum page-size changes affect traversal behavior.,auto,False
github_2025_05_15_models_read,GitHub,https://github.blog/changelog/2025-05-15-modelsread-now-required-for-github-models-access/,2025-05-15,models:read now required for GitHub Models access,all tokens now require the models:read permission.,A new permission requirement was added for model access.,D,D2_permission_change,False,False,True,True,high,Permission changes can break otherwise valid API calls.,auto,False
square_2025_01_23_customer_cards_retired,Square,https://developer.squareup.com/docs/changelog/connect-logs/2025-01-23,2025-01-23,Customer cards field retired,the Customer cards field is retired.,A customer response field was retired in favor of card-listing APIs.,B,B4_output_shape_change,True,False,False,True,high,Field retirement maps directly to output schema evolution.,auto,False
square_2025_01_23_node_autopagination,Square,https://developer.squareup.com/docs/changelog/connect-logs/2025-01-23,2025-01-23,Node SDK auto-pagination support,Node.js SDK includes support for auto-pagination.,Client traversal behavior changed for paginated APIs.,D,D3_pagination_change,False,False,True,True,medium,Pagination handling affects protocol-level client behavior.,auto,True
square_2025_04_16_webhook_retry,Square,https://developer.squareup.com/docs/changelog/connect-logs/2025-04-16,2025-04-16,Webhook retry schedule changed,maximum of 11 retry attempts for up to 24 hours.,"Webhook retry policy changed, affecting event-delivery robustness.",D,D6_retry_timeout_change,False,False,True,True,high,Retry schedules are operational compatibility behavior.,auto,False
square_2025_04_16_marketplace_eligibility,Square,https://developer.squareup.com/docs/changelog/connect-logs/2025-04-16,2025-03-27,App Marketplace seller eligibility requirement,minimum of five active Square sellers.,A listing eligibility business rule was introduced.,C,C4_business_rule_drift,False,True,False,True,high,Eligibility policy changes map to business-rule drift.,auto,False
google_calendar_2024_05_30_fromgmail,Google Calendar,https://workspaceupdates.googleblog.com/2024/05/google-calendar-api-event-type-fromgmail.html,2024-05-30,Events from Gmail use fromGmail event type,eventType will return fromGmail instead of default.,An API value representation changed for Gmail-derived events.,B,B3_enum_value_change,True,True,False,True,medium,The returned enum-like value changes and may alter client branching behavior.,auto,True
google_calendar_2024_05_30_update_restriction,Google Calendar,https://workspaceupdates.googleblog.com/2024/05/google-calendar-api-event-type-fromgmail.html,2024-05-30,Events from Gmail update restrictions,"will only allow updates to reminders, colorId, visibility.",A new rule restricts which fields can be updated on a category of events.,C,C4_business_rule_drift,False,True,False,True,high,A category-specific update eligibility rule is semantic policy drift.,auto,False
paypal_2023_01_15_billtozip_format,PayPal,https://developer.paypal.com/api/nvp-soap/payflow/integration-guide/reference/revision-history/,2023-01-15,BILLTOZIP field correction,BILLTOZIP is an alphanumeric value.,Documentation clarified/corrected a field representation constraint.,A,A2_format_change,False,False,False,True,medium,Representation constraints can affect prompt/tool usage even when schema type stays string-like.,auto,True
paypal_2023_01_15_transactionid_response,PayPal,https://developer.paypal.com/api/nvp-soap/payflow/integration-guide/reference/revision-history/,2023-01-15,TRANSACTIONID response parameter documented,Added the TRANSACTIONID response parameter.,A response parameter was added to API documentation.,B,B4_output_shape_change,True,False,False,True,medium,Response parameter additions map to schema/output-shape evolution.,auto,True
paypal_ach_new_accounts,PayPal,https://developer.paypal.com/api/nvp-soap/payflow/integration-guide/reference/revision-history/,unknown,ACH not available for new accounts,ACH is no longer available for new accounts.,A payment capability became unavailable for a class of accounts.,C,C4_business_rule_drift,False,True,False,True,medium,Payment eligibility changes map to semantic business policy drift.,auto,True
openapi_nullable_clarification,OpenAPI,https://github.com/OAI/OpenAPI-Specification/blob/main/proposals/2019-10-31-Clarify-Nullable.md,2019-10-31,Clarify nullable semantics,Clarify the semantics of nullable.,A specification clarification changed how a representation constraint is interpreted.,A,A3_documentation_semantics_change,False,True,False,True,low,"Specification wording changes can alter tool descriptions or validators, but mapping needs review.",auto,True
